REGION_NAME	TRG
Алтайский край	24
Амурская область	43
Ненецкий автономный округ	32
Архангельская область	32
Астраханская область	27,5
Белгородская область	30
Брянская область	24
Владимирская область	22
Волгоградская область	23,5
Вологодская область	25,5
Воронежская область	30,5
Еврейская автономная область	41
Забайкальский край	42
Ивановская область	25
Иркутская область	31,5
Кабардино-Балкарская Республика	32,5
Калининградская область	26,5
Калужская область	23,5
Камчатский край	49,5
Карачаево-Черкесская Республика	32
Кемеровская область	25
Кировская область	26
Костромская область	25
Краснодарский край	26
Красноярский край	27
Курганская область	28
Курская область	25
Липецкая область	30,5
Магаданская область	50,5
Москва	15
Московская область	15
Мурманская область	23
Нижегородская область	18,5
Новгородская область	23
Новосибирская область	22
Омская область	24,5
Оренбургская область	28,5
Орловская область	24
Пензенская область	23
Пермский край	25
Приморский край	37
Псковская область	26,5
Республика Адыгея	26
Республика Алтай	28,5
Республика Башкортостан	28,5
Республика Бурятия	38
Республика Дагестан	33
Республика Ингушетия	33
Республика Калмыкия	34
Республика Карелия	29
Республика Коми	34
Республика Марий Эл	24
Республика Мордовия	23,5
Республика Саха	43
Республика Северная Осетия — Алания	28,5
Татарстан	24
Республика Тыва	35
Республика Удмуртия	29
Республика Хакасия	28
Ростовская область	25
Рязанская область	20
Самарская область	23,5
Санкт-Петербург	16
Ленинградская область	16
Саратовская область	22
Сахалинская область	41
Свердловская область	20
Смоленская область	26
Сочи	25
Ставропольский край	27
Тамбовская область	32,5
Тверская область	28
Томская область	23,5
Тульская область	23,5
Тюменская область	21
Ульяновская область	21
Хабаровский край	35,5
Ханты-Мансийский автономный округ	28,5
Челябинская область	25
Чеченская Республика	35
Чувашская республика	26
Чукотский автономный округ	61
Ямало-Ненецкий автономный округ	34,5
Ярославская область	25,5
